a	bir
ability	kabiliyet, yetenek, beceri
able	yapabilmek, yapabilen
about	hakkında, ilgili, konusunda
above	yukarıda
accept	kabul etmek
according	göre
account	hesap, açıklama
across	karşısında
act	eylem, davranış
action	eylem, etki, hareket
activity	faaliyet, etkinlik
actually	aslında, gerçekte
add	eklemek, ilave etmek
address	adres
administration	yönetim, idare
admit	kabul etmek, itiraf etmek
adult	yetişkin, erişkin
affect	etkilemek, etki etmek
after	sonra, ardından, daha sonra
afternoon	öğleden sonra
afterwards	ondan sonra
again	tekrar, yeniden
against	karşı
age	yaş
agency	ajans, acenta
agent	ajan
ago	önce, evvel
agree	katılmak, hem fikir olmak
agreement	anlaşma, sözleşme
ahead	önde, ileri
air	hava
all	her şey, tüm, bütün
all right	peki
allow	izin vermek
almost	neredeyse, hemen hemen
alone	yalnız, tek başına
along	boyunca, yanı sıra
already	zaten
also	ayrıca, hem de
although	rağmen, karşın , gerçi
always	her zaman, daima
american	amerikan
among	arasında, içinde
amount	miktar, tutar
analysis	analiz, çözümleme
and	ve, ile
animal	hayvan
another	diğeri
answer	cevap, yanıt
any	herhangi, hiç, her
anyone	kimse, herhangi biri, hiç kimse
anything	bir şeyi herhangi bir şey, hiçbir şey
anyway	her halükârda
anywhere	herhangi bir yere
appear	görünmek, gözükmek
apple	elma
apply	uygulamak, başvurmak
approach	yaklaşım, yaklaşma
april	nisan
area	alan, bölge
argue	tartışmak
arm	kol
around	etrafında
arrive	varmak, ulaşmak
art	sanat
article	makale, yazı
artist	sanatçı
as	gibi, olarak
ask	sormak, istemek
assume	varsaymak, farzetmek
attack	saldırı, atak
attention	dikkat
attorney	avukat, vekil
audience	seyirci, izleyici
author	yazar
authority	yetki, otorite
available	müsait
avoid	önlemek, kaçınmak
away	uzak, uzakta
baby	bebek
back	geri
bad	kötü
bag	sırt çantası
ball	top
bank	banka
bar	bar
base	üs, temel, baz
be	olmak, var olmak
beat	dövmek, yenmek
beautiful	güzel
because	çünkü
become	olmak, haline gelmek
bed	yatak
before	önce
begin	başlamak, başlatmak
behavior	davranış, tutum, hareket
behind	arkasında, gerisinde
believe	inanmak
benefit	yarar, fayda
best	en iyi, en iyisi, en
better	daha iyi, daha güzel, daha iyi şekilde
between	arasında, aralarında
beyond	ötesinde, öte
big	büyük
bill	fatura
billion	milyar
black	siyah
blood	kan
blue	mavi
board	yazı tahtası
body	vücut
book	kitap
born	doğmuş, doğum
both	her ikisi de, ikisi de
box	kutu
boy	erkek çocuk
break	kırmak
bring	getirmek
brother	erkek kardeş
budget	bütçe
build	inşa etmek
building	bina
business	iş
but	fakat, ama, lakin
buy	satın almak
by	tarafından, ile, göre, vasıtasıyla
call	aramak
camera	kamera
campaign	kampanya
can	yapabilmek
cancer	kanser
candidate	aday
capital	başkent
car	araba
card	kart
care	bakım
career	kariyer
carry	taşımak
case	dava
catch	yakalamak
cause	sebep olmak
cell	hücre
center	merkez
central	merkezi
century	yüzyıl
certain	belirli, kesin
certainly	kesinlikle
chair	sandalye
challenge	meydan okuma
chance	şans
change	değişiklik
character	karakter
charge	şarj etmek
check	kontrol etmek, denetlemek
child	çocuk
choice	seçim, seçenek
choose	seçmek
church	kilise
citizen	vatandaş
city	şehir
civil	sivil
claim	iddia etmek, iddia
class	sınıf
clear	temiz, açık
clearly	açıkça
close	kapatmak
coach	koç
cold	soğuk
collection	toplamak
college	kolej
color	renk
come	gelmek
commercial	ticari
common	ortak
community	topluluk
company	şirket
compare	karşılaştırmak
computer	bilgisayar
concern	ilişkisi olmak, ait olmak, ilgilendirmek
condition	şart
conference	konferans
congress	kongre
consider	dikkate almak
consumer	tüketici
contain	içermek
continue	devam etmek
control	kontrol
cost	maliyet
country	ülke
couple	çift
course	ders
court	mahkeme
cover	örtmek
create	yaratmak
crime	suç
cultural	kültürel
culture	kültür
cup	fincan
current	şu andaki
customer	müşteri
cut	kesmek
dark	karanlık
data	veri
daughter	kız evlat
day	gün
dead	ölü
deal	anlaşmak
death	ölüm
debate	müzakere, tartışma
decade	on yıl
decide	karar vermek
decision	karar
deep	derin
defense	savunma
degree	derece
democrat	demokrat
democratic	demokratik
describe	tanımlamak
design	tasarım
despite	rağmen, aksine
detail	ayrıntı
determine	belirlemek
